rate(row_norm),true_idx,pred_idx,count
0.8333333333333334,96,61,5
0.6666666666666666,80,56,6
0.5714285714285714,25,26,4
0.5,60,28,3
0.3333333333333333,23,99,3
0.2857142857142857,9,0,2
0.2,12,0,1
0.2,53,83,1
0.2,65,0,1
0.2,68,53,1
0.2,98,26,1
0.18181818181818182,36,62,2
0.16666666666666666,8,0,1
0.16666666666666666,59,38,2
0.16666666666666666,81,68,1
0.15384615384615385,17,8,2
0.15384615384615385,82,28,2
0.14285714285714285,11,8,1
0.14285714285714285,11,15,1
0.14285714285714285,11,30,1
0.14285714285714285,11,74,1
0.14285714285714285,15,16,1
0.14285714285714285,15,100,1
0.14285714285714285,18,81,1
0.14285714285714285,19,0,1
