rate(row_norm),true_idx,pred_idx,count
0.8333333333333334,96,61,5
0.7142857142857143,43,42,5
0.6153846153846154,51,6,8
0.6,84,0,3
0.5555555555555556,23,99,5
0.4,44,0,2
0.4,98,3,2
0.3333333333333333,62,36,2
0.3333333333333333,97,4,3
0.2857142857142857,15,0,2
0.2857142857142857,25,26,2
0.2857142857142857,29,11,2
0.2857142857142857,86,18,2
0.25,33,0,2
0.23076923076923078,16,0,3
0.2222222222222222,75,0,2
0.2222222222222222,83,0,2
0.2222222222222222,83,27,2
0.2,12,0,1
0.2,12,18,1
0.2,45,25,1
0.2,53,4,1
0.2,53,6,1
0.2,61,91,2
0.2,65,0,1
