rate(row_norm),true_idx,pred_idx,count
0.8333333333333334,96,61,5
0.2857142857142857,19,0,2
0.2857142857142857,19,60,2
0.2857142857142857,29,74,2
0.2727272727272727,36,62,3
0.2222222222222222,23,99,2
0.2222222222222222,80,56,2
0.2,44,84,1
0.2,68,15,1
0.2,68,23,1
0.18181818181818182,94,57,2
0.16666666666666666,7,0,1
0.16666666666666666,7,62,1
0.16666666666666666,8,0,1
0.16666666666666666,60,28,1
0.16666666666666666,81,68,1
0.15384615384615385,17,8,2
0.14285714285714285,9,0,1
0.14285714285714285,11,29,1
0.14285714285714285,11,68,1
0.14285714285714285,11,74,1
0.14285714285714285,15,0,1
0.14285714285714285,15,100,1
0.14285714285714285,18,101,1
0.14285714285714285,21,79,1
