exp,arch,test_acc,top5_acc,macro_f1,weighted_f1,augment,freeze_backbone
vit_b16_ft_all_reg,vit_b_16,0.9387755102040817,0.9905247813411079,0.910324395568062,0.9382372062266671,True,False
vit_b16_ft_all,vit_b_16,0.9336734693877551,0.989067055393586,0.9041973995443693,0.9313165760889918,True,False
vit_b16_strongaug_ft_all,vit_b_16,0.9205539358600583,0.9854227405247813,0.8931601522645607,0.9207536488549206,True,False
vit_b16_noaug,vit_b_16,0.9198250728862973,0.978134110787172,0.8973866678766962,0.9183712575395165,False,True
vit_b16_main,vit_b_16,0.9176384839650146,0.9795918367346939,0.8998900091431775,0.9158220881359758,True,True
resnet50_main,resnet50,0.8520408163265306,0.9715743440233237,0.7999187270779732,0.8422847269449037,True,True
resnet18_main,resnet18,0.7419825072886297,0.9081632653061225,0.6361064952210684,0.7200141939942981,True,True
effnet_b0_main,efficientnet_b0,0.7361516034985423,0.9067055393586005,0.6242671936711629,0.7030826168676897,True,True
hog_svm,hog_svm,0.6042274052478134,,0.45217350007243123,0.5910243363935689,,
